hsv_mean_h,hsv_mean_s,hsv_mean_v,hsv_std_h,hsv_std_s,hsv_std_v,hog_mean,hog_std,hog_max,glcm_contrast_0,glcm_contrast_90,glcm_correlation_0,glcm_correlation_90,glcm_energy_0,glcm_energy_90,glcm_homogeneity_0,glcm_homogeneity_90,target_label
26.93603516,30.62239075,133.607666,30.06541175,20.50660127,65.81160067,0.110535867,0.092817862,0.445489024,21.58674939,22.54367341,0.997355632,0.997230365,0.032121231,0.032774122,0.53252186,0.54091144,haze
28.40447998,3.201095581,146.365921,43.13026994,3.495840078,39.28720873,0.114874259,0.087391292,0.395516303,7.483639706,3.375566789,0.997574806,0.998900231,0.048570438,0.048388134,0.611044125,0.610558872,haze
0,0,153.1232605,0,0,66.93101939,0.106567818,0.097348002,0.704742094,262.2641391,297.1332261,0.970524616,0.966296406,0.049531056,0.044903648,0.564831352,0.512117908,haze
68.29449463,11.51690674,129.1219635,22.0614827,5.912244895,51.80185746,0.097797789,0.106155196,0.488099144,1.941329657,1.711810662,0.999637703,0.999679337,0.044543301,0.044874212,0.713130475,0.71056855,haze
43.64338684,5.145263672,140.022171,47.52404218,11.83437044,28.83673567,0.1053252,0.098691112,0.593360882,93.70908395,56.21078431,0.942560415,0.965346982,0.089240159,0.085810279,0.513852968,0.542422198,haze
54.51994324,13.78074646,126.1533203,33.50997729,10.23575741,37.176145,0.106006487,0.097958961,0.640827899,28.12616422,71.81507353,0.989867332,0.973769943,0.049919779,0.04517603,0.590322155,0.547795902,haze
53.18418884,9.090316772,143.4256744,37.19191266,9.760420813,29.52381633,0.102391273,0.101731807,0.422427629,54.05571385,41.43484988,0.970455034,0.977405877,0.075442565,0.079845824,0.689161908,0.717151295,haze
19.53874207,17.23306274,66.41970825,11.87342303,16.49544587,29.58006297,0.085702934,0.116139315,0.420730467,60.52029718,49.63734681,0.960181613,0.967299964,0.12270633,0.123627218,0.811194809,0.805862303,haze
29.84762573,2.934631348,170.880722,48.13181998,5.616396905,10.65857417,0.110417418,0.092958739,0.462914788,9.79129902,6.160677083,0.954607974,0.971172608,0.102361976,0.112346719,0.617737322,0.668617552,haze
50.84669495,8.319564819,146.7500153,52.89328152,8.853615675,46.79711588,0.077774897,0.121591113,0.498152842,1.887239583,8.982720588,0.999567184,0.997929592,0.076802311,0.056622685,0.857975398,0.613645738,haze
62.6991272,38.65403748,191.4460449,39.08878479,51.15164512,74.26413674,0.086424763,0.104674191,0.666257472,83.29764093,71.30470282,0.993214883,0.994169322,0.234015666,0.230286272,0.634183203,0.589380502,haze
34.37324524,14.50471497,178.5229492,26.81377959,17.99407206,64.99526039,0.114602644,0.087747178,0.424457687,190.8710937,323.2829504,0.978364894,0.963312498,0.039298656,0.038237964,0.452384598,0.43194385,haze
41.26655579,5.346420288,131.2370453,32.93932302,8.106738624,25.83683594,0.106579045,0.097335711,0.549745002,44.60116422,28.89468444,0.966462253,0.978133908,0.079147145,0.084158338,0.628189828,0.689435567,haze
27.57119751,66.07258606,152.6667328,11.54333147,37.8163959,68.22665309,0.110686153,0.092638592,0.462554324,7.386366422,5.105591299,0.99919517,0.99944135,0.037571563,0.037810891,0.620063153,0.632419289,haze
0,0,194.7814178,0,0,26.4681037,0.106965115,0.096911287,0.465355971,14.97588848,15.45801164,0.989314527,0.988890107,0.085454011,0.09965913,0.549252496,0.612381585,haze
113.8291931,26.4899292,175.6157684,2.601134266,3.458611824,35.67911735,0.107181242,0.096672202,0.429479761,18.43186275,6.892907475,0.99197903,0.996986627,0.070580499,0.064196528,0.676625739,0.6535183,haze
88.04417419,12.87940979,189.2980347,75.58134405,15.40900808,44.51780409,0.09131718,0.111778826,0.620848143,211.8343137,116.3002911,0.944568522,0.969264553,0.086539018,0.086263326,0.645746626,0.691554263,haze
65.61943054,14.94146729,140.0466766,42.66544787,17.17166861,51.54227886,0.111852938,0.091226387,0.442048809,175.7761183,113.3731005,0.966606433,0.978488541,0.047988742,0.050165322,0.437216151,0.517551795,haze
15.97880554,60.86097717,158.0250397,2.856474688,15.44781686,50.62409666,0.108575528,0.095103564,0.525305707,10.33852635,6.246308211,0.997942634,0.998751137,0.049370721,0.045275776,0.610013455,0.577213037,haze
100.9896698,73.38771057,155.1721649,1.754415148,15.93946529,33.37669259,0.107503347,0.096313881,0.433111821,7.458348652,2.68192402,0.99639669,0.998704853,0.051556194,0.055309339,0.653235579,0.699064891,haze
109.2686462,27.82731628,135.8691101,52.75994146,18.29331647,58.68650591,0.112971812,0.089837092,0.40596727,12.94928002,10.11326593,0.998048063,0.998468301,0.039340166,0.035905013,0.589773352,0.543876315,haze
16.01557922,44.87973022,138.3762054,3.095927002,14.6561938,61.14955387,0.094474107,0.109123675,0.462791613,0.624065564,1.314583333,0.999912202,0.999814178,0.047784644,0.037635989,0.790527964,0.641278024,haze
101.6459808,16.97799683,171.1304169,38.8377278,15.08236272,59.92927354,0.107979202,0.095780088,0.665845779,265.3427083,172.5167739,0.961436007,0.974987524,0.041534997,0.044613958,0.34473079,0.406054197,haze
